ConceptId,ConceptId_Description
171057006,Pregnancy alcohol education (procedure)
72301000119103,Asthma in pregnancy (disorder)
10742121000119104,Asthma in mother complicating childbirth (disorder)
10745291000119103,Malignant neoplastic disease in mother complicating childbirth (disorder)
10749871000119100,Malignant neoplastic disease in pregnancy (disorder)
20753005,Hypertensive heart disease complicating AND/OR reason for care during pregnancy (disorder)
237227006,Congenital heart disease in pregnancy (disorder)
169501005,"Pregnant, diaphragm failure (finding)"
169560008,Pregnant - urine test confirms (finding)
169561007,Pregnant - blood test confirms (finding)
169562000,Pregnant - vaginal examination confirms (finding)
169565003,Pregnant - planned (finding)
169566002,Pregnant - unplanned - wanted (finding)
413567003,Aplastic anemia associated with pregnancy (disorder)
91948008,Asymptomatic human immunodeficiency virus infection in pregnancy (disorder)
169488004,Contraceptive intrauterine device failure - pregnant (finding)
169508004,"Pregnant, sheath failure (finding)"
169564004,Pregnant - on abdominal palpation (finding)
77386006,Pregnant (finding)
10746341000119109,Acquired immune deficiency syndrome complicating childbirth (disorder)
10759351000119103,Sickle cell anemia in mother complicating childbirth (disorder)
10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder)
10757481000119107,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy (disorder)
10757441000119102,Pre-existing hypertensive heart disease in mother complicating childbirth (disorder)
10759031000119106,Pre-existing hypertensive heart disease in mother complicating pregnancy (disorder)
1474004,Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth (disorder)
199006004,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium (disorder)"
199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium (disorder)"
22966008,Hypertensive heart AND renal disease complicating AND/OR reason for care during pregnancy (disorder)
59733002,Hypertensive heart disease complicating AND/OR reason for care during childbirth (disorder)
171054004,Pregnancy diet education (procedure)
106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder)
199225007,Diabetes mellitus during pregnancy - baby delivered (disorder)
237627000,Pregnancy and type 2 diabetes mellitus (disorder)
609563008,Pre-existing diabetes mellitus in pregnancy (disorder)
609566000,Pregnancy and type 1 diabetes mellitus (disorder)
609567009,Pre-existing type 2 diabetes mellitus in pregnancy (disorder)
199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)"
199227004,Diabetes mellitus during pregnancy - baby not yet delivered (disorder)
609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder)
76751001,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)"
526961000000105,Pregnancy advice for patients with epilepsy (procedure)
527041000000108,Pregnancy advice for patients with epilepsy not indicated (situation)
527131000000100,Pregnancy advice for patients with epilepsy declined (situation)
10753491000119101,Gestational diabetes mellitus in childbirth (disorder)
40801000119106,Gestational diabetes mellitus complicating pregnancy (disorder)
10562009,Malignant hypertension complicating AND/OR reason for care during childbirth (disorder)
198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
198954000,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)"
23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder)
26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth (disorder)
29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy (disorder)
65402008,Pre-existing hypertension complicating AND/OR reason for care during pregnancy (disorder)
8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder)
10752641000119102,Eclampsia with pre-existing hypertension in childbirth (disorder)
118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy (disorder)
18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder)
198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)"
34694006,Pre-existing hypertension complicating AND/OR reason for care during childbirth (disorder)
37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy (disorder)
